cardName,issuerName,rewardProvider,curBonusPts,centValueOfPoint,curPointBonusVal,otherPerks,otherPerksTravelCashVal,curBonusVal,travelConvRate,minSpendVal,minSpendMonths,annualFee,annualFeeWaived,personalOrBiz,ftf,signupUrl,useOnCt,curBonusPrctl,minSpendPrctl,annualFeePrctl,overallRank
Ameriprise Platinum,Amex,MR,5000,1.8,90,$200 Airline Credit + $100 Global Entry,0,90,0,3000,3,450,Yes,Personal,0,0,0,8,8,53,32
Delta Reserve,Amex,Delta,10000,1.25,125,"15,000 MQMs",0,125,0,0,0,450,No,Personal,0.03,0,0,12,100,5,54
Everyday,Amex,MR,10000,1.8,180,0,0,180,0,1000,3,0,0,Personal,0.027,0,0,17,69,100,84
Mercedes-Benz,Amex,MR,10000,1.8,180,0,0,180,0,1000,3,95,No,Personal,0,0,No,17,69,80,76
HHonors,Amex,Hilton,50000,0.45,225,Silver status. $20k spend: Gold status.,0,225,0,1000,3,0,0,Personal,0.027,0,No,21,69,100,89
Gold Delta,Amex,Delta,50000,1.25,625,0,0,625,0,2000,3,95,Yes,Personal,0,https://www.americanexpress.com/us/credit-cards/delta-skymiles,Yes,58,38,90,109
Everyday Preferred,Amex,MR,15000,1.8,270,0,0,270,0,1000,3,95,No,Personal,0.027,0,0,25,69,80,85
Starwood Preferred Guest,Amex,SPG,25000,2.35,587.5,0,0,587.5,0,3000,3,95,Yes,Personal,0,https://www.americanexpress.com/us/credit-cards/starwood-preferred-guest,Yes,54,8,90,94
Platinum,Amex,MR,40000,1.8,720,$200 Airline Credit + $100 Global Entry,200,920,0.01,3000,3,450,No,Personal,0,https://www.americanexpress.com/us/credit-cards/platinum,Yes,85,8,5,90
Gold Delta Business,Amex,Delta,30000,1.25,375,0,0,375,0,1000,3,95,Yes,Business,0.03,0,No,35,69,90,98
HHonors Surpass,Amex,Hilton,75000,0.45,337.5,Gold status. $40k spend: Diamond status.,0,337.5,0,3000,3,75,No,Personal,0.027,0,0,31,8,84,68
Platinum Delta,Amex,Delta,70000,1.25,875,"5,000 MQMs",0,875,0,3000,3,195,No,Personal,0,https://www.americanexpress.com/us/credit-cards/skymiles,Yes,81,8,59,108
Platinum Delta Business,Amex,Delta,35000,1.25,437.5,"5,000 MQMs",0,437.5,0,1000,3,195,No,Business,0.03,0,No,41,69,59,92
Business Rewards Gold,Amex,MR,25000,1.8,450,0,0,450,0,5000,3,175,Yes,Business,0,0,No,42,0,82,74
Green,Amex,MR,25000,1.8,450,0,0,450,0,1000,3,95,Yes,Personal,0.027,0,0,42,69,90,105
Gold,Amex,MR,25000,1.8,450,0,0,450,0,1000,3,160,Yes,Personal,0,0,0,42,69,83,103
Ameriprise Gold,Amex,MR,25000,1.8,450,0,0,450,0,1000,3,160,Yes,Personal,0,0,0,42,69,83,103
Starwood Business,Amex,SPG,25000,2.35,587.5,0,0,587.5,0,5000,3,95,Yes,Business,0,0,No,54,0,90,90
Mercedes-Benz Platinum,Amex,MR,10000,1.8,180,0,0,180,0.01,1000,3,475,No,Personal,0,https://www.americanexpress.com/us/credit-cards/mercedes-benz,Yes,17,69,0,44
Premier Rewards Gold,Amex,MR,65000,1.8,1170,$100 Airline Credit,100,1270,0.01,1000,3,195,Yes,Personal,0,https://www.americanexpress.com/us/credit-cards/premier-rewards-gold/,Yes,100,69,79,159
Platinum Business,Amex,MR,40000,1.8,720,$200 Airline Credit + $100 Global Entry,200,920,0,5000,3,450,No,Business,0,0,No,85,0,5,87
Schwab Platinum,Amex,MR,40000,1.8,720,$200 Airline Credit + $100 Global Entry,200,920,0,3000,3,450,No,Personal,0,0,0,85,8,5,90
Blue Cash Everyday,Amex,Cash,100,100,100,0,0,100,0,1000,3,0,0,Personal,0.027,0,No,9,69,100,77
Blue Cash Preferred,Amex,Cash,200,100,200,0,0,200,0,1000,3,75,No,Personal,0.027,0,No,19,69,84,80
Blue Sky,Amex,Blue Sky,0,1.25,0,0,0,0,0,0,0,0,0,Personal,0.027,0,0,0,100,100,80
Blue Sky Preferred,Amex,Blue Sky,0,1.25,0,0,0,0,0,0,0,75,No,Personal,0.027,0,0,0,100,84,74
