cardName,issuerName,rewardProvider,curBonusPts,centValueOfPoint,curBonusVal,otherPerks,minSpendVal,minSpendMonths,annualFee,annualFeeWaived,personalOrBiz,ftf,useOnCt,curBonusPrctl,minSpendPrctl,annualFeePrctl,overallRank
Ameriprise Platinum,Amex,MR,5000,1.8,90,$200 Airline Credit + $100 Global Entry,3000,3,450,Yes,Personal,0,0,12,14,5,20
Delta Reserve,Amex,Delta,10000,1.25,125,"15,000 MQMs",0,0,450,No,Personal,0.03,0,17,100,5,59
Everyday,Amex,MR,10000,1.8,180,0,1000,3,0,0,Personal,0.027,0,24,71,100,93
Mercedes-Benz,Amex,MR,10000,1.8,180,0,1000,3,95,No,Personal,0,No,24,71,80,85
HHonors,Amex,Hilton,50000,0.45,225,Silver status. $20k spend: Gold status.,1000,3,0,0,Personal,0.027,Yes,30,71,100,99
Gold Delta,Amex,Delta,30000,1.25,375,0,1000,3,95,Yes,Personal,0,Yes,51,71,80,111
Everyday Preferred,Amex,MR,15000,1.8,270,0,1000,3,95,No,Personal,0.027,0,36,71,80,97
Starwood Preferred Guest,Amex,SPG,25000,2.35,587.5,0,3000,3,95,Yes,Personal,0,Yes,79,14,80,117
Platinum,Amex,MR,40000,1.8,720,$200 Airline Credit + $100 Global Entry,3000,3,450,No,Personal,0,Yes,97,14,5,105
Gold Delta Business,Amex,Delta,30000,1.25,375,0,1000,3,95,Yes,Business,0.03,No,51,71,80,111
HHonors Surpass,Amex,Hilton,75000,0.45,337.5,Gold status. $40k spend: Diamond status.,3000,3,75,No,Personal,0.027,0,46,14,84,85
Platinum Delta,Amex,Delta,35000,1.25,437.5,"5,000 MQMs",1000,3,195,No,Personal,0,0,59,71,59,111
Platinum Delta Business,Amex,Delta,35000,1.25,437.5,"5,000 MQMs",1000,3,195,No,Business,0.03,No,59,71,59,111
Business Rewards Gold,Amex,MR,25000,1.8,450,0,5000,3,175,Yes,Business,0,No,61,0,63,86
Green,Amex,MR,25000,1.8,450,0,1000,3,95,Yes,Personal,0.027,0,61,71,80,121
Gold,Amex,MR,25000,1.8,450,0,1000,3,160,Yes,Personal,0,0,61,71,66,116
Ameriprise Gold,Amex,MR,25000,1.8,450,0,1000,3,160,Yes,Personal,0,0,61,71,66,116
Starwood Business,Amex,SPG,25000,2.35,587.5,0,5000,3,95,Yes,Business,0,No,79,0,80,111
Mercedes-Benz Platinum,Amex,MR,75000,1.8,1350,0,3000,3,475,No,Personal,0,Yes,100,14,0,106
Premier Rewards Gold,Amex,MR,50000,1.8,900,$100 Airline Credit,1000,3,195,Yes,Personal,0,Yes,100,71,59,152
Platinum Business,Amex,MR,40000,1.8,720,$200 Airline Credit + $100 Global Entry,5000,3,450,No,Business,0,No,97,0,5,99
Schwab Platinum,Amex,MR,40000,1.8,720,$200 Airline Credit + $100 Global Entry,3000,3,450,No,Personal,0,0,97,14,5,105
Blue Cash Everyday,Amex,Cash,100,100,100,0,1000,3,0,0,Personal,0.027,No,14,71,100,82
Blue Cash Preferred,Amex,Cash,200,100,200,0,1000,3,75,No,Personal,0.027,No,27,71,84,89
Blue Sky,Amex,Blue Sky,0,1.25,0,0,0,0,0,0,Personal,0.027,0,0,100,100,80
Blue Sky Preferred,Amex,Blue Sky,0,1.25,0,0,0,0,75,No,Personal,0.027,0,0,100,84,74
Virgin Atlantic White Card,Bank of America,Virgin Atlantic,12500,1.5,187.5,0,1,0,49,No,Personal,0.01,0,25,100,90,101
Virgin Atlantic Black Card,Bank of America,Virgin Atlantic,20000,1.5,300,0,1,0,49,No,Personal,0.01,0,41,100,90,116
Alaska,Bank of America,Alaska,25000,1.8,450,$100 + Companion Pass,1000,3,75,No,Personal,0.03,Yes,61,71,84,123
Alaska Business,Bank of America,Alaska,25000,1.8,450,Companion Pass,0,0,75,No,Business,0.03,No,61,100,84,134
Virgin Atlantic,Bank of America,Virgin Atlantic,20000,1.5,300,0,1,6,90,No,Personal,0.01,Yes,41,100,81,113
Asiana,Bank of America,Asiana,10000,,,0,1,0,99,No,Personal,0.01,0,0,100,79,72
Asiana Business,Bank of America,Asiana,10000,,,0,1,0,80,No,Business,0.03,No,0,100,83,73
Spirit,Bank of America,Spirit,15000,,,0,1,0,59,Yes,Personal,0.03,0,0,100,88,75
Bank Americard Cash Rewards,Bank of America,Cash,100,100,100,0,500,3,0,0,Personal,0.03,No,14,86,100,88
JetBlue,Barclays,JetBlue,5000,1.25,62.5,0,1000,3,0,0,Personal,0,No,8,71,100,77
Wyndham,Barclays,Wyndham,15000,1,150,0,1000,3,0,No,Personal,0,0,20,71,100,89
Arrival,Barclays,Arrival,20000,1.025,205,0,1000,3,0,0,Personal,0.03,No,28,71,100,96
Frontier Business,Barclays,Frontier,25000,1.1,275,0,0,0,69,No,Business,0.03,No,37,100,85,111
JetBlue Plus,Barclays,JetBlue,30000,1.25,375,"5,000 anniversary bonus",1000,3,99,No,Personal,0,Yes,51,71,79,111
JetBlue Business,Barclays,JetBlue,30000,1.25,375,"5,000 anniversary bonus",1000,3,99,No,Business,0,No,51,71,79,111
Wyndham,Barclays,Wyndham,30000,1,300,"6,000 aniversary bonus",1000,3,69,No,Personal,0,0,41,71,85,103
Frontier,Barclays,Frontier,40000,1.1,440,0,500,3,69,No,Personal,0.03,Yes,59,86,85,128
Arrival +,Barclays,Arrival,40000,1.025,410,0,3000,3,89,Yes,Personal,0,Yes,55,14,81,94
Lufthansa,Barclays,Miles & More,50000,1.4,700,0,5000,0,79,No,Personal,0,Yes,95,0,83,128
Hawaiian,Barclays,Hawaiian,35000,1.2,420,0,1000,3,89,No,Personal,0,Yes,57,71,81,118
Hawaiian Business,Barclays,Hawaiian,35000,1.2,420,0,0,0,89,No,Business,0,No,57,100,81,129
NBA Amex,BBVA Compass,TripleDouble,20000,,,5% cashback twice a year,500,3,0,0,Personal,0.03,No,0,86,100,74
Venture One Rewards,Capital One,Venture,20000,1,200,0,1000,3,0,0,Personal,0,Yes,27,71,100,96
Venture Rewards,Capital One,Venture,40000,1,400,0,3000,3,59,Yes,Personal,0,Yes,54,14,88,95
QuicksilverOne Rewards,Capital One,Cash,0,100,0,0,0,0,39,No,Personal,0,No,0,100,92,77
Quicksilver Rewards,Capital One,Cash,100,100,100,0,500,3,0,0,Personal,0,No,14,86,100,88
Spark Cash,Capital One,Cash,500,100,500,0,4500,3,59,Yes,Business,0,No,68,0,88,103
United Club,Chase,Cash,100,100,100,0,0,3,395,No,Personal,0,0,14,100,17,60
