originalType,transfersToType,rate
SPG,AA,1.25
MR,Air Canada,1
SPG,Air Canada,1
SPG,Air China,1.25
SPG,Alaska,1.25
SPG,ANA,1.25
MR,ANA,1
SPG,Avios,1.25
UR,Avios,1
MR,Avios,0.8
SPG,Cathay,1.25
MR,Cathay,1
TYP,Cathay,1
SPG,China Southern,1.25
SPG,Delta,1.25
MR,Delta,1
SPG,Emirates,1.25
MR,Emirates,1
TYP,EVA,1
SPG,FlyingBlue,1.25
MR,FlyingBlue,1
TYP,FlyingBlue,1
UR,FlyingBlue,1
SPG,Hainan,1.25
MR,Hawaiian,1
MR,Iberia,0.8
SPG,Japan,1.25
MR,JetBlue,0.8
UR,Korean,1
TYP,Malaysia,1
SPG,Miles & More,1.25
SPG,Singapore,1.25
MR,Singapore,1
TYP,Singapore,1
UR,Singapore,1
SPG,Southwest,1.25
UR,Southwest,1
SPG,Thai,1.25
TYP,Thai,1
SPG,United,1.25
MR,United,1
UR,United,1
TYP,Virgin,2
SPG,Virgin,1.25
MR,Virgin,1
SPG,Virgin Atlantic,1.25
TYP,Virgin Atlantic,1
UR,Virgin Atlantic,1
MR,Virgin Atlantic,0.5
TYP,Etihad,1
