departingAirportTicker,arrivingAirportTicker,pointType,numberOfPointsReq,cashReq,class,airlineName,isCashRoute,roundTripReq
SFO,CTU,Cash,0,253,Coach,United,TRUE,TRUE
SFO,PVG,Cash,0,268,Coach,United,TRUE,TRUE
SFO,PEK,Cash,0,239,Coach,United,TRUE,TRUE
SFO,SIN,Cash,0,324,Coach,Singapore,TRUE,TRUE
SFO,HKG,Cash,0,350,Coach,Cathay,TRUE,TRUE
SFO,TPE,Cash,0,285.5,Coach,United,TRUE,TRUE
LAX,HKG,Cash,0,274,Coach,Singapore,TRUE,TRUE
LAX,HKG,Cash,0,299,Coach,United,TRUE,TRUE
SFO,SIN,Cash,0,323,Coach,United,TRUE,TRUE
LAX,BKK,Cash,0,279,Coach,China Southern,TRUE,TRUE
SFO,BKK,Cash,0,303,Coach,EVA,TRUE,TRUE
LAX,HAN,Cash,0,281,Coach,China Southern,TRUE,TRUE
LAX,SGN,Cash,0,310.5,Coach,Korean,TRUE,TRUE
LAX,ICN,Cash,0,265.5,Coach,China Southern,TRUE,TRUE
SFO,ICN,Cash,0,290.5,Coach,Air China,TRUE,TRUE
LAX,NRT,Cash,0,225,Coach,United,TRUE,TRUE
SFO,NRT,AA,32500,11,Coach,AA,FALSE,FALSE
LAX,NRT,AA,32500,86.2,Coach,AA,FALSE,FALSE
LAX,HND,AA,32500,86.2,Coach,AA,FALSE,FALSE
SFO,NRT,Alaska,25000,24,Coach,Alaska,FALSE,FALSE
SEA,NRT,Alaska,25000,24,Coach,Alaska,FALSE,FALSE
JFK,NRT,Alaska,25000,24,Coach,AA,FALSE,FALSE
SFO,PEK,Alaska,40000,36,Coach,Alaska,FALSE,FALSE
SFO,HKG,Alaska,30000,24,Coach,Cathay,FALSE,FALSE
SFO,NRT,ANA,25000,87.22,Coach,ANA,FALSE,TRUE
LAX,HND,ANA,25000,87.22,Coach,ANA,FALSE,TRUE
SFO,HKG,Avios,35000,41,Coach,Cathay,FALSE,FALSE
SFO,BKK,Avios,37500,60,Coach,Japan,FALSE,FALSE
SFO,TPE,ANA,25000,1.11,Coach,All Nippon,FALSE,TRUE
SFO,TPE,Alaska,30000,1.11,Coach,Cathay,FALSE,FALSE
SFO,TPE,Delta,35000,5.6,Coach,Delta,FALSE,FALSE
SFO,TPE,Delta,35000,5.6,Coach,Delta,FALSE,FALSE
LAX,SIN,Delta,40000,34.1,Coach,Delta,FALSE,FALSE
SFO,PEK,Delta,35000,37.2,Coach,Delta,FALSE,FALSE
LAX,HND,Delta,35000,5.6,Coach,Delta,FALSE,FALSE
SEA,PEK,Delta,35000,13.1,Coach,Delta,FALSE,FALSE
SEA,SIN,Delta,40000,21.2,Coach,Delta,FALSE,FALSE
LAX,TPE,EVA,50000,48.4,Coach,EVA,FALSE,FALSE
SEA,SGN,EVA,50000,53.4,Coach,EVA,FALSE,FALSE
SEA,BKK,EVA,50000,54.41,Coach,EVA,FALSE,FALSE
SFO,TPE,EVA,50000,48.4,Coach,EVA,FALSE,FALSE
LAX,ICN,Etihad,35000,1.11,Coach,Asiana,FALSE,FALSE
SEA,ICN,Korean,35000,104.3,Coach,Korean,FALSE,FALSE
SEA,HAN,Korean,42500,68.07,Coach,Korean,FALSE,FALSE
SEA,BKK,Korean,42500,65.28,Coach,Korean,FALSE,FALSE
YVR,ICN,Korean,35000,113.45,Coach,Korean,FALSE,FALSE
LAX,NRT,Singapore,32500,53.4,Coach,Singapore,FALSE,FALSE
SFO,HKG,Singapore,30000,23.4,Coach,Singapore,FALSE,FALSE
SFO,HKG,United,40000,14.5,Coach,Asiana,FALSE,FALSE
SFO,NRT,United,35000,5.6,Coach,United,FALSE,FALSE
LAX,NRT,United,35000,5.6,Coach,United,FALSE,FALSE
SFO,TPE,United,35000,5.6,Coach,United,FALSE,FALSE
SFO,ICN,United,35000,5.6,Coach,United,FALSE,FALSE
SFO,SIN,United,35000,5.6,Coach,United,FALSE,FALSE
BOS,CDG,Etihad,20000,1.11,Coach,American,FALSE,FALSE
JFK,CDG,Iberia,21000,1.11,Coach,AA,FALSE,FALSE
JFK,CDG,Alaska,20000,1.11,Coach,AA,FALSE,FALSE
JFK,CDG,AA,22500,1.11,Coach,AA,FALSE,FALSE
JFK,CDG,FlyingBlue,25000,1.11,Coach,Air France,FALSE,FALSE
