pointKey,programName,pointTerm,mainAffiliate
AA,AAdvantage,Mile,American Airlines
Aeroplan,Aeroplan,Mile,Air Canada
Air China,Air China PhoenixMiles,Mile,Air China
Alaska,Mileage Plan,Mile,Alaska Airlines
ANA,ANA Mileage Club,Mile,All Nippon Airways
Arrival,Arrival,Mile,Barclaycard
Asiana,Asiana Club,Mile,Asiana Airlines
Avios,Executive Club,Avio,British Airways
Blue Sky,Blue Sky,Point,American Express
Carlson,Club Carlson,Gold Point,Club Carlson
Cash,Cash,Dollar,Cash
Cathay,Asia Miles,Mile,Cathay Pacific
China Southern,Sky Pearl Club,Mile,China Southern Airlines
Delta,SkyMiles,Mile,Delta Airlines
Emirates,Emirates Skywards,Mile,Emirates
EVA,Infinity MileageLands,Mile,EVA Air
FlexPerks,FlexPerks,Point,U.S. Bank
FlyingBlue,Flying Blue,Mile,Air France
Frontier,EarlyReturns,Mile,Frontier Airlines
Hainan,Fortune Wings Club,Mile,Hainan Airlines
Hawaiian,HawaiianMiles,Mile,Hawaiian Airlines
Hilton,HHonors,Point,Hilton Hotels
Hyatt,Hyatt Gold Passport,Point,Hyatt Hotels
IHG,IHG Rewards Club,Point,InterContinental Hotels Group (IHG)
Japan,JAL Mileage Bank,Mile,Japan Airlines
JetBlue,TrueBlue,Mile,JetBlue Airways
Korean,Korean Air SkyPass,Mile,Korean Air
Malaysia,Enrich,Mile,Malaysia Airlines
Marriott,Marriott Rewards,Point,Marriott Hotels
Miles & More,Miles & More,Mile,Lufthansa
MR,Membership Rewards,Point,American Express
Singapore,KrisFlyer,Mile,Singapore Airlines
Southwest,Rapid Rewards,Mile,Southwest Airlines
SPG,Starwood Preferred Guest,Starpoint,Starwood Hotels
Thai,Royal Orchid Plus,Mile,Thai Airways
TYP,Citi ThankYou Rewards,Point,Citibank
United,MileagePlus,Mile,United Airlines
UR,Ultimate Rewards,Point,Chase Bank
Venture,Venture Rewards,Mile,Capital One
Virgin America,Elevate,Mile,Virgin America
Virgin Atlantic,Flying Club,Mile,Virgin Atlantic
Wells Fargo,Go Far Rewards,Point,Wells Fargo
Wyndham,Wyndham Rewards,Point,Wyndham Hotels
